HomeCondition,BuildMaterialQual,YrRD,Remd,TLA,YrBlt,GarCap,Bedrm,TotBaseArea,BasetMinFinArea,BaseFinArea,FirePlaces,Fixtures,PoolArea,TotAcres,SaleDate,Price
4,4,2001,0,2700,2001,3,2,2686,0,2000,2,19,1250,0.41,2019.72,612500
4,5,2008,0,4045,2008,4,2,4771,0,3000,2,26,1104,0.73,2021.99,1875000
3,5,1995,0,4428,1995,4,4,2382,0,2250,2,23,1080,0.59,2021.62,975000
5,4,1999,0,2078,1999,3,1,3137,0,2900,2,17,1020,0.44,2018.68,550000
4,5,2007,5,4751,1991,4,2,5719,0,4000,4,29,1012,2,2018.06,1073076.923
4,6,1995,0,7391,1995,4,4,4635,0,3100,4,25,1000,1.3,2016.47,1632653.846
3,4,1984,0,2758,1984,3,3,3642,0,2600,2,21,1000,0.7,2018.08,437500
4,4,1997,0,3207,1997,3,4,1796,0,900,1,19,1000,0.47,2018.60,550000
4,4,2012,0,2041,2012,3,2,2041,0,1600,1,15,960,0.45,2021.32,580000
4,3,2003,0,1169,2003,3,3,1147,0,850,0,12,960,0.3,2019.56,263545.4545
5,4,2009,0,3980,2009,3,5,2356,0,2300,2,21,880,0.39,2016.86,728000
5,4,2009,0,3980,2009,3,5,2356,0,2300,2,21,880,0.39,2020.01,744550
4,5,2002,0,5297,2002,5,4,3278,0,3000,3,21,880,2.94,2018.25,1222222.222
4,5,2002,0,5297,2002,5,4,3278,0,3000,3,21,880,2.94,2019.56,1388888.889
4,6,2010,0,6590,2010,5,4,4457,0,3200,3,30,880,0.78,2022.51,1625000
3,4,1976,0,2979,1976,2,3,1395,1000,0,1,14,880,0.25,2022.15,380000
4,4,2007,0,2655,2007,3,4,1668,0,1100,1,20,864,0.3,2019.31,436000
4,4,2007,0,2655,2007,3,4,1668,0,1100,1,20,864,0.3,2022.35,525104.8
5,3,2011,8,1690,1957,2,3,1536,0,1400,2,13,861,0.25,2021.90,435000
4,4,1994,0,3628,1994,3,4,2313,0,2050,1,23,820,1.02,2022.51,750000
5,4,1963,0,3033,1963,4,4,2375,0,1850,2,19,800,0.62,2022.29,775000
3,4,1985,0,2999,1985,2,4,1333,0,1150,1,18,800,0.42,2022.37,316923.0769
4,4,2011,9,2504,1997,3,4,1038,0,850,1,15,800,0.45,2022.58,600000
4,4,2011,9,2504,1997,3,4,1038,0,850,1,15,800,0.45,2020.49,455000
4,4,2015,0,2207,2015,3,2,2607,0,1700,1,22,800,0.33,2017.91,628000
4,4,1997,0,3333,1997,3,4,1599,0,1350,2,21,800,0.38,2017.51,440000
4,4,1997,0,3333,1997,3,4,1599,0,1350,2,21,800,0.38,2020.78,535000
4,4,2004,0,2162,2004,3,2,2160,0,2050,2,17,800,0.27,2017.52,412000
5,5,2022,6,6186,1989,4,5,3750,0,2450,5,25,800,0.58,2022.57,1800000
5,4,2018,4,2020,1994,3,2,2020,0,1700,1,16,800,0.29,2016.51,391818.1818
5,4,2003,0,2447,2003,4,2,2396,0,2000,2,20,800,0.48,2016.52,618181.8182
5,4,2003,0,2447,2003,4,2,2396,0,2000,2,20,800,0.48,2019.43,645542.7273
4,4,2001,4,2455,1990,2,3,1372,0,800,1,15,800,0.34,2021.03,425000
4,3,2010,0,1189,2010,3,3,1189,0,1000,0,11,800,0.32,2016.85,175384.6154
4,3,2018,0,1631,2018,2,2,1631,0,1150,1,12,800,0.27,2019.43,297008.4615
4,3,2002,0,1190,2002,2,3,1182,0,950,1,8,800,0.25,2021.91,310000
5,3,1989,0,1076,1989,2,3,1040,0,900,0,8,800,3.14,2018.93,112500
5,3,2019,0,2027,2019,3,3,2027,0,1650,1,14,800,0.24,2020.26,441583.3333
4,5,1994,0,5551,1994,4,4,801,0,550,1,18,768,0.76,2021.64,760000
4,3,1994,0,3146,1994,3,3,1813,0,1500,2,17,750,0.33,2019.76,385000
4,3,1966,0,2792,1966,2,3,1482,1250,0,2,14,740,0.28,2016.39,285000
4,4,1963,0,3286,1963,3,4,798,0,650,3,16,720,0.44,2019.69,460000
4,4,1963,0,3286,1963,3,4,798,0,650,3,16,720,0.44,2019.69,460000
4,4,2000,0,2426,2000,3,2,2399,0,1800,1,17,720,0.36,2021.23,512000
5,3,1978,0,1407,1978,2,3,1387,0,1250,1,12,720,0.21,2018.67,275000
5,3,1979,0,1932,1979,2,3,784,0,700,1,13,720,0.21,2021.47,340000
4,3,2014,0,2211,2014,3,3,2211,0,1750,1,15,720,0.3,2018.09,420000
3,3,1954,0,1076,1954,1,2,768,400,0,1,8,703,0.19,2020.11,115000
4,4,2000,0,2399,2000,2,4,1136,0,600,1,16,684,0.39,2018.42,385000
4,5,2000,0,5732,2000,6,3,2298,0,1200,3,26,680,1.58,2018.33,875000
4,3,2013,0,2284,2013,3,4,1002,0,800,0,14,680,0.19,2016.26,279900
4,3,2013,0,2284,2013,3,4,1002,0,800,0,14,680,0.19,2022.36,425000
4,4,2002,0,2040,2002,3,2,2016,0,1600,1,15,666,0.32,2017.31,422000
5,3,2006,6,2612,1915,3,4,1088,0,1088,0,13,660,0.64,2019.93,240000
4,4,2011,0,3122,2011,3,4,2079,0,1600,1,19,660,0.33,2021.60,783333.3333
5,6,2003,8,5489,1927,2,4,2163,0,0,4,16,648,1.12,2021.71,1196581.197
4,4,1988,0,2820,1988,3,4,1238,0,1000,1,18,648,0.25,2016.89,395000
4,4,1991,0,3396,1991,3,4,1575,0,1200,2,20,648,0.33,2021.95,539900
4,4,2004,0,2190,2004,3,3,2177,0,1900,1,15,648,0.36,2021.41,545000
4,4,1964,0,2345,1964,2,3,840,400,0,1,11,648,0.32,2020.54,289500
4,5,1992,0,4440,1992,3,4,3194,0,2900,4,22,648,1.05,2018.26,875000
4,5,1992,0,4440,1992,3,4,3194,0,2900,4,22,648,1.05,2018.26,875000
4,4,2003,5,2520,1985,3,4,1289,0,950,2,14,648,0.35,2018.49,335200
4,4,2002,0,2830,2002,3,4,1903,0,1600,2,20,648,0.24,2020.41,490000
4,4,2002,0,2830,2002,3,4,1903,0,1600,2,20,648,0.24,2018.11,480000
4,4,2012,0,1892,2012,3,3,1892,0,1450,1,17,648,0.33,2022.49,600000
4,4,2012,0,1892,2012,3,3,1892,0,1450,1,17,648,0.33,2018.70,445000
4,5,2004,0,3352,2004,3,3,2403,0,2200,2,20,648,0.71,2021.77,915000
4,4,2005,0,2748,2005,3,3,1892,0,1700,2,21,648,0.44,2022.43,895000
4,4,2005,0,2748,2005,3,3,1892,0,1700,2,21,648,0.44,2019.50,765000
5,5,1926,0,2348,1926,3,5,1360,100,1150,2,19,648,0.67,2019.23,250000
5,3,1961,0,2275,1961,2,3,1900,0,1100,1,14,648,0.31,2017.73,357142.8571
4,3,1964,0,1158,1964,2,2,1124,0,1000,0,11,648,0.21,2017.81,170833.3333
4,3,1969,0,1340,1969,2,3,728,0,650,1,11,648,0.41,2017.51,182200
4,3,1969,0,1340,1969,2,3,728,0,650,1,11,648,0.41,2018.95,204000
4,3,1969,0,1340,1969,2,3,728,0,650,1,11,648,0.41,2019.49,217500
5,3,1987,0,2257,1987,2,4,903,0,650,1,13,648,0.21,2021.20,304166.6667
4,3,2015,0,1653,2015,3,3,1663,0,1200,1,15,648,0.31,2017.94,317923.0769
4,3,2004,0,3335,2004,2,5,1269,0,900,2,21,648,0.21,2017.74,380000
4,3,2015,4,1444,2000,2,3,1404,0,1000,1,12,648,0.34,2019.72,357500
5,3,1970,0,2307,1970,3,3,1470,0,1400,2,12,648,1.06,2018.30,453438
4,4,2002,0,1722,2002,3,3,1722,0,1600,1,15,648,0.35,2017.49,382222.2222
4,4,2002,0,1722,2002,3,3,1722,0,1600,1,15,648,0.35,2018.83,415431.1111
4,4,2002,0,1722,2002,3,3,1722,0,1600,1,15,648,0.35,2019.91,404444.4444
4,3,2015,0,1783,2015,3,3,1783,0,1050,1,14,648,0.25,2016.43,421647
5,3,1972,0,1087,1972,2,3,494,0,350,0,7,648,0.21,2020.90,215000
4,3,1981,0,1625,1981,2,3,892,0,500,1,11,648,0.21,2020.97,243636.3636
